Static Pressure,LPM Rota,periph_ch1,periph_ch1_lpm,temp_mcu,Static_Pa,SP_mV,DP_mV,Differential_Pa,Flow_lph,SB lpm,Accuracy,Error,ideal flow,cd
43.03,40,0,,27.5,43813,85.29,1447.33,7.51,2781,46.35,1.15875,15.88%,46.34288503,0.9285136213
43.03,40,0,,27.9,43794,85.26,1448.11,7.44,2767,46.11666667,1.152916667,15.29%,46.12640057,0.9328714028
11.8,80,0,,27.9,12018,39.96,1319.94,25.21,5094,84.9,1.06125,6.13%,84.9081779,0.1389736571
11.8,80,0,,27.5,12018,39.96,1319.94,25.21,5094,84.9,1.06125,6.13%,84.9081779,0.1389736571
11.8,80,0,,27.9,12037,39.99,1319.94,25.21,5094,84.9,1.06125,6.13%,84.9081779,0.1389736571
28.89,80,0,,27.9,29432,64.79,1301.97,28.54,5420,90.33333333,1.129166667,12.92%,90.34207946,0.3197845364
28.89,80,0,,27.9,29432,64.79,1301.19,28.69,5435,90.58333333,1.132291667,13.23%,90.57917744,0.3189474758
28.89,80,0,,27.9,29414,64.76,1301.97,28.54,5420,90.33333333,1.129166667,12.92%,90.34207946,0.3197845364
46.78,80,0,,27.5,47540,90.6,1315.25,26.06,5179,86.31666667,1.078958333,7.90%,86.32772659,0.5418884737
46.78,80,0,,27.5,47522,90.58,1314.47,26.2,5193,86.55,1.081875,8.19%,86.55930167,0.5404387408
46.78,80,0,,27.5,47522,90.58,1316.04,25.91,5165,86.08333333,1.076041667,7.60%,86.07891909,0.5434547796
5.67,130,0,,27.5,5842,31.16,1148.8,65.34,8202,136.7,1.051538462,5.15%,136.6950107,0.04147920227
5.67,130,0,,27.5,5856,31.18,1148.73,65.57,8216,136.9333333,1.053333333,5.33%,136.935386,0.04140639003
5.67,130,0,,27.5,5860,31.18,1147.23,65.79,8230,137.1666667,1.055128205,5.51%,137.1649159,0.04133710113
27.99,130,0,,27.5,28500,63.46,1145.67,66.25,8258,137.6333333,1.058717949,5.87%,137.6436053,0.2033512558
27.99,130,0,,27.5,28500,63.46,1145.67,66.25,8258,137.6333333,1.058717949,5.87%,137.6436053,0.2033512558
